Run	altitude	Assay Type	AvgSpotLen	Bases	biomaterial_provider	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collected_by	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	tissue	Ecotype	collection_date	Cultivar	isolate
SRR6242246	1365 m	WGS	290	1226146100	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948335	Plant	618429127	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349931	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426763 N 42.50266 E	CudiB_009.PKTTAGGC_G03_CAGTGC	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:13:00Z	1	CudiB_009	SRP123332	leaf	CudiB_009	23/05/2013		
SRR6242247	1368 m	WGS	294	1561389900	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948340	Plant	667607548	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349930	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426824 N 42.502499 E	CudiB_016.P3TGACCA_B04_ATGC	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:14:00Z	1	CudiB_016	SRP123332	leaf	CudiB_016	23/05/2013		
SRR6242248	1366 m	WGS	294	2860034058	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948336	Plant	1284348848	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349929	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426821 N 42.502537 E	CudiB_011.PAGGCTAC_B11_ATGC	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:22:00Z	1	CudiB_011	SRP123332	leaf	CudiB_011	23/05/2013		
SRR6242249	1367 m	WGS	292	580776028	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948341	Plant	245742473	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349928	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426812 N 42.502489 E	CudiB_017.P3ACTTGA_F08_TGACA	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:09:00Z	1	CudiB_017	SRP123332	leaf	CudiB_017	23/05/2013		
SRR6242250	1368 m	WGS	292	7975951384	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948340	Plant	3113326614	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349927	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426824 N 42.502499 E	CudiB_016.PMTGACCA_B04_ATGC	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:30:00Z	1	CudiB_016	SRP123332	leaf	CudiB_016	23/05/2013		
SRR6242251	1369 m	WGS	290	704838330	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948342	Plant	305075198	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349926	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426838 N 42.502477 E	CudiB_018.P3TTAGGC_H03_CTAGGA	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:10:00Z	1	CudiB_018	SRP123332	leaf	CudiB_018	23/05/2013		
SRR6242252	1367 m	WGS	290	5381583650	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948341	Plant	1964764691	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349925	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426812 N 42.502489 E	CudiB_017.PXACTTGA_F08_TGACA	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:18:00Z	1	CudiB_017	SRP123332	leaf	CudiB_017	23/05/2013		
SRR6242253	1369 m	WGS	290	903783260	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948343	Plant	398941039	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349924	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426787 N 42.50245 E	CudiB_019.P3TGACCA_G04_CAGTGC	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:11:00Z	1	CudiB_019	SRP123332	leaf	CudiB_019	23/05/2013		
SRR6242254	1369 m	WGS	288	7917670368	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948342	Plant	3218250861	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349923	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.426838 N 42.502477 E	CudiB_018.PTTTAGGC_H03_CTAGGA	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T14:00:00Z	1	CudiB_018	SRP123332	leaf	CudiB_018	23/05/2013		
SRR6242256	1286 m	WGS	290	1944085760	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	PRJNA416007	SAMN07948327	Plant	729150532	COOK LAB - UNIVERSITY OF CALIFORNIA AT DAVIS	USAID Feed the Future Innovation Lab for Climate Resilient Chickpea	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	flowering	SRX3349921	Turkey	Asia	Turkey: Sirnak	Illumina HiSeq 4000	mountain slope-field side or border	37.431654 N 42.492942 E	CudiA_155.PRGATCAG_F09_TGACA	PAIRED	RANDOM	GENOMIC	Cicer reticulatum	ILLUMINA	2019-11-01T00:00:00Z	2017-11-01T12:13:00Z	1	CudiA_155	SRP123332	leaf	CudiA_155	23/05/2013		
