run	sample	population	biosample	bases	bytes	url_1	md5_1	bytes_1	url_2	md5_2	bytes_2
SRR6242246	CudiB_009	CudiB	SAMN07948335	1226146100	618429127	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/006/SRR6242246/SRR6242246_1.fastq.gz	7987a08ea21983c29cfe2dd18f0a63af	397306067	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/006/SRR6242246/SRR6242246_2.fastq.gz	d4035f0e2d872fcc3bf1e3b2cf465a14	416857369
SRR6242247	CudiB_016	CudiB	SAMN07948340	1561389900	667607548	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/007/SRR6242247/SRR6242247_1.fastq.gz	59e827aef23a304b1f2551712cc51bef	426580107	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/007/SRR6242247/SRR6242247_2.fastq.gz	37381efe859883b49e6e260c22894171	461482796
SRR6242248	CudiB_011	CudiB	SAMN07948336	2860034058	1284348848	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/008/SRR6242248/SRR6242248_1.fastq.gz	00299927606955c41d5f11456c6aed5e	814305541	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/008/SRR6242248/SRR6242248_2.fastq.gz	6ba233fd5653c08db51100348ea43b07	889700543
SRR6242249	CudiB_017	CudiB	SAMN07948341	580776028	245742473	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/009/SRR6242249/SRR6242249_1.fastq.gz	93caa3e8c4e82026a01989c68886a7d7	157643367	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/009/SRR6242249/SRR6242249_2.fastq.gz	0fe76c026e6aae245a63f5a2f2611142	171000206
SRR6242250	CudiB_016	CudiB	SAMN07948340	7975951384	3113326614	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/000/SRR6242250/SRR6242250_1.fastq.gz	a1ae792190c8c52feccbc7bd6f1497f6	2000942497	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/000/SRR6242250/SRR6242250_2.fastq.gz	a5c8528a72197e29e251fb5a403bb210	2202731953
SRR6242251	CudiB_018	CudiB	SAMN07948342	704838330	305075198	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/001/SRR6242251/SRR6242251_1.fastq.gz	8461c4a5cabcfcb9f835de7e9d79d987	196376899	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/001/SRR6242251/SRR6242251_2.fastq.gz	80254741cb338824a578a26f9f262cb6	214224211
SRR6242252	CudiB_017	CudiB	SAMN07948341	5381583650	1964764691	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/002/SRR6242252/SRR6242252_1.fastq.gz	8690da356f44bfc58f435fc3576e9c6d	1281369005	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/002/SRR6242252/SRR6242252_2.fastq.gz	e8a96605ee7e025d8bb3e8bcd05c768f	1374797657
SRR6242253	CudiB_019	CudiB	SAMN07948343	903783260	398941039	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/003/SRR6242253/SRR6242253_1.fastq.gz	21a7927a3ae2409cd9ea3dfa67ed5161	255469408	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/003/SRR6242253/SRR6242253_2.fastq.gz	dc55561926b5971c9c83c0faf989b31a	276089572
SRR6242254	CudiB_018	CudiB	SAMN07948342	7917670368	3218250861	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/004/SRR6242254/SRR6242254_1.fastq.gz	65c3554e8d04724e7e8a8345291d469d	2077726042	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/004/SRR6242254/SRR6242254_2.fastq.gz	4ad43072fae1141f10ec019cc30403c5	2317651147
SRR6242256	CudiA_155	CudiA	SAMN07948327	1944085760	729150532	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/006/SRR6242256/SRR6242256_1.fastq.gz	01b3450d4a01f578ad646c81b42a201c	457392793	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/006/SRR6242256/SRR6242256_2.fastq.gz	97925d420637ed235ee08a30fab3908e	505013843
SRR6242258	CudiA_152	CudiA	SAMN07948324	24729462250	9424871026	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/008/SRR6242258/SRR6242258_1.fastq.gz	dcd9cc168d5324374b6d80397b6ebefc	6121717530	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/008/SRR6242258/SRR6242258_2.fastq.gz	648c233c40b4ab5e1b09b4562ffb32f6	6017638433
SRR6242259	CudiA_152	CudiA	SAMN07948324	1538908000	517645750	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/009/SRR6242259/SRR6242259_1.fastq.gz	9dbacaa32310bc360a4fd90e7b38f53b	302448840	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/009/SRR6242259/SRR6242259_2.fastq.gz	ac6c34d9f2374776b9b6aa46a673e425	281191900
SRR6242260	CudiA_151	CudiA	SAMN07948323	5534385120	2073007519	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/000/SRR6242260/SRR6242260_1.fastq.gz	c11d2bbdafa3b256b7abda9811f8dc53	1333532915	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/000/SRR6242260/SRR6242260_2.fastq.gz	ef046d34b2f1698d40772014aa22a8d5	1450590458
SRR6242261	CudiA_155	CudiA	SAMN07948327	1415532488	604903541	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/001/SRR6242261/SRR6242261_1.fastq.gz	7ed7ee1c98b2b49e1567779be507985c	384219316	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/001/SRR6242261/SRR6242261_2.fastq.gz	365333a8be4ad85f900544eb84870736	418691241
SRR6242262	CudiA_154	CudiA	SAMN07948326	502805268	247549395	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/002/SRR6242262/SRR6242262_1.fastq.gz	b5d518ab45854fc23a828f0d5cad5003	156314920	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/002/SRR6242262/SRR6242262_2.fastq.gz	c08ca61c1aa812f1d0003599da01275a	164576271
SRR6242264	CudiA_153	CudiA	SAMN07948325	2962501380	1457478595	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/004/SRR6242264/SRR6242264_1.fastq.gz	5310d0e87110cf445470e1f50113c363	931373948	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR624/004/SRR6242264/SRR6242264_2.fastq.gz	0f8c49870bc8213bb76c2092a20b3fc2	984329203
